cellID,x,y,depth,depth2,logslope,tpi,distance2canyons,distance2canyons2,seafloortemperature,seafloorcurrents_mean,npp_mean,seafloorsalinity
1470930,-2062500,2450500,-5.36321497,2.486866951,1.036375284,1.185966849,2.646800995,3.295443058,0.749050736,-0.394607991,-0.246769503,0.841776907
1472190,457500,2450500,-5.498499393,2.816987514,0.464311063,0.144909233,-0.305891275,-0.56056422,0.760734022,0.351112485,-0.048531309,0.820932269
1472191,459500,2450500,-5.398537636,2.571832657,0.351512969,0.13450031,-0.306976259,-0.559237719,0.808038414,0.57305479,-0.066251993,0.816418529
1472192,461500,2450500,-5.3460536,2.445899248,0.402046323,0.047197837,-0.308010042,-0.557971895,0.846874893,0.779931545,-0.036227688,0.813220382
1472193,463500,2450500,-5.305709362,2.350396156,0.526013732,-0.02018792,-0.308992445,-0.556767344,0.885383368,0.891539752,0.000545566,0.808684051
1472194,465500,2450500,-5.2546134,2.231066942,0.642185569,-0.053869329,-0.309923142,-0.555624604,0.923782408,0.971391976,0.049457014,0.80371666
1472195,467500,2450500,-5.179307938,2.058507204,0.698877394,-0.039116625,-0.310801983,-0.55454427,0.974844754,1.312400699,0.090049312,0.797456503
1472196,469500,2450500,-5.070470333,1.816078782,0.682973802,0.066525489,-0.311628729,-0.5535267,1.030128121,1.740460873,0.105358146,0.790765345
1472197,471500,2450500,-4.958343506,1.574939728,0.644226193,0.115525141,-0.312403142,-0.552572489,1.073598623,2.176157713,0.120661229,0.78752178
1472198,473500,2450500,-4.864908218,1.380675912,0.618503332,0.072451189,-0.313125014,-0.551682055,1.113131523,2.61439991,0.138399452,0.785435081
1472199,475500,2450500,-4.793176174,1.235654831,0.576940954,0.062858887,-0.313794166,-0.550855875,1.138033152,2.520349741,0.148326918,0.791717947
1472200,477500,2450500,-4.754415512,1.158782005,0.49260217,0.035156902,-0.314410478,-0.550094306,1.158057928,2.248869419,0.15014571,0.800813377
1472201,479500,2450500,-4.74514389,1.140548706,0.375794798,0.011153506,-0.314973712,-0.549397707,1.177462816,1.51976347,-0.026749339,0.805780768
1472202,481500,2450500,-4.759850979,1.169499159,0.243537515,0.005330403,-0.315483779,-0.548766434,1.196661234,0.638116539,-0.319173157,0.809387147
1472203,483500,2450500,-4.799135685,1.2475667,0.131414682,0.002206399,-0.31594047,-0.548200786,1.175772905,0.833486915,-0.40495643,0.801834106
1472204,485500,2450500,-4.863743782,1.378292918,0.097634256,0.002698298,-0.316343755,-0.547701061,1.141522527,1.387860894,-0.440548122,0.790561199
1472205,487500,2450500,-4.954655647,1.567156792,0.152247801,0.001444713,-0.316693515,-0.547267377,1.105442405,1.925180674,-0.075561896,0.781715214
1472206,489500,2450500,-5.069141865,1.813171029,0.23515524,-0.001556166,-0.316989571,-0.546900153,1.068752408,2.456815958,0.288849413,0.773685813
1472207,491500,2450500,-5.200175285,2.105928659,0.296830416,-0.005952463,-0.317231923,-0.546599388,1.03644681,2.321561813,0.271306872,0.771372259
1472208,493500,2450500,-5.337460518,2.425462246,0.316255957,-0.01552968,-0.317420483,-0.54636538,1.005602479,1.964012623,0.254024982,0.771009386
1472209,495500,2450500,-5.468166828,2.741863489,0.283953518,-0.028242972,-0.317555219,-0.54619807,0.929666102,1.576737881,0.225297496,0.783325672
1474251,-2088500,2448500,-4.888796806,1.429764867,1.728322029,1.474846482,2.686986923,3.450880051,0.811062276,0.328553975,-0.477197677,0.835811615
1474252,-2086500,2448500,-4.030798912,-0.084537856,1.328498602,1.808931112,2.683508158,3.437315464,0.823871791,0.167565584,-0.460747778,0.835289896
1474253,-2084500,2448500,-3.618112087,-0.630568624,0.360768497,1.740961313,2.680035114,3.423793316,0.83008045,-0.030613376,-0.449640572,0.835017741
1474254,-2082500,2448500,-3.599596262,-0.65229094,-0.410924613,1.214745641,2.676567554,3.410312891,0.834088862,-0.241189048,-0.441722423,0.834813595
1474255,-2080500,2448500,-3.71578455,-0.512035191,-0.297250569,0.617579401,2.673105955,3.396876574,0.839488983,-0.412691325,-0.441993713,0.83404243
1474256,-2078500,2448500,-3.759680271,-0.456603229,-0.436164528,0.796036541,2.669650078,3.383482933,0.845352948,-0.571169257,-0.44497928,0.833089769
1474257,-2076500,2448500,-3.725148916,-0.500322163,-0.067380935,1.737134457,2.666199923,3.370131969,0.847428918,-0.554301918,-0.432832003,0.833157837
1474258,-2074500,2448500,-3.936098099,-0.220308125,0.540391982,1.287243485,2.662755489,3.356822968,0.848242164,-0.478986502,-0.398159415,0.833588779
1474259,-2072500,2448500,-4.207006931,0.184685007,0.901411057,1.231474876,2.659317017,3.343558073,0.843225598,-0.466407448,-0.370414197,0.834927022
1474260,-2070500,2448500,-4.658525467,0.973093987,0.853102028,0.031351183,2.655884504,3.330335379,0.836265743,-0.474740446,-0.35816592,0.836560071
1474261,-2068500,2448500,-4.934160709,1.524078012,0.221486717,-0.410464972,2.652457476,3.317154646,0.82418257,-0.446732432,-0.329151094,0.838125169
1474262,-2066500,2448500,-4.937059879,1.530154228,-0.037844002,0.360202283,2.649036169,3.304016352,0.810391605,-0.406610876,-0.286522269,0.839667499
1474263,-2064500,2448500,-5.044747353,1.759986997,0.348879248,0.195976064,2.645621061,3.290920973,0.781959891,-0.428131521,-0.247853398,0.840892315
1474264,-2062500,2448500,-5.169859886,2.037135839,0.894568026,1.116956353,2.642211676,3.277867556,0.748647988,-0.470199406,-0.242312342,0.842003763
1475523,455500,2448500,-5.475907326,2.760973215,0.496232688,0.053142857,-0.310349107,-0.555101156,0.72565943,0.034395937,-0.062075485,0.827396631
1475524,457500,2448500,-5.354924202,2.467049837,0.393683225,0.072801262,-0.311495334,-0.55369097,0.809157312,0.322223395,-0.067837916,0.817280471
1475525,459500,2448500,-5.256749153,2.236017942,0.325585246,0.065277338,-0.312590212,-0.552341819,0.857276559,0.598400593,-0.073041171,0.812199712
1475526,461500,2448500,-5.177522659,2.05446434,0.364859223,0.0461911,-0.313633502,-0.551054299,0.893603086,0.870694578,-0.038301125,0.808820128
1475527,463500,2448500,-5.098352432,1.877399802,0.470307618,0.059297916,-0.314624965,-0.549829066,0.928641617,1.012057066,0.001743478,0.804283738
1475528,465500,2448500,-5.005229473,1.674709082,0.558014691,0.143650219,-0.315564334,-0.548666656,0.963250935,1.109775782,0.056112517,0.799339056
1475529,467500,2448500,-4.90924263,1.472095132,0.572356582,0.234894514,-0.316451341,-0.547567666,1.006701469,1.378564835,0.095217787,0.794326365
1475530,469500,2448500,-4.855195999,1.36083138,0.572736323,-0.071077906,-0.317285806,-0.546532571,1.053099036,1.704376936,0.113011047,0.789268315
1475531,471500,2448500,-4.750698566,1.151464701,0.60091269,-0.036429599,-0.318067461,-0.54556185,1.090699553,2.047214746,0.12781392,0.787816644
1475532,473500,2448500,-4.634597778,0.92775631,0.598004282,0.091598988,-0.318796068,-0.544656038,1.125367761,2.395727396,0.141896114,0.787544489
1475533,475500,2448500,-4.559657097,0.788335025,0.560919225,0.141418874,-0.319471538,-0.543815553,1.148229122,2.263776064,0.146266788,0.794485152
1475534,477500,2448500,-4.54050827,0.75333643,0.501692832,0.080192998,-0.320093632,-0.543040752,1.167154908,1.971670389,0.146645725,0.803830087
1475535,479500,2448500,-4.559840202,0.788670599,0.421838462,0.03638212,-0.320662171,-0.542332053,1.186681986,1.20756042,-0.021394877,0.808457196
1475536,481500,2448500,-4.606290817,0.874633789,0.333195269,0.014990911,-0.321177065,-0.541689813,1.206409335,0.286116391,-0.24278836,0.811519265
1475537,483500,2448500,-4.674674988,1.003919959,0.260628372,0.003368242,-0.321638107,-0.541114271,1.180797696,0.579478204,-0.270455241,0.803036213
1475538,485500,2448500,-4.76275444,1.17523253,0.226390541,-0.005501607,-0.322045177,-0.540605843,1.140072942,1.277773023,-0.250006378,0.790697277
1475539,487500,2448500,-4.867419243,1.385816455,0.234015167,-0.004613778,-0.322398245,-0.540164649,1.103883982,1.873631597,0.058285147,0.781692564
1475540,489500,2448500,-4.987499237,1.636801004,0.26059863,-0.010689165,-0.322697163,-0.539790928,1.069206834,2.435344934,0.283996671,0.773799241
